COG	COG term
COG0103	[J] COG0103 Ribosomal protein S9
COG0104	[F] COG0104 Adenylosuccinate synthase
COG0105	[F] COG0105 Nucleoside diphosphate kinase
COG0106	[E] COG0106 Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	[E] COG0107 Imidazoleglycerol-phosphate synthase
COG0108	[H] COG0108 3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0109	[O] COG0109 Polyprenyltransferase (cytochrome oxidase assembly factor)
COG0110	[R] COG0110 Acetyltransferase (isoleucine patch superfamily)
COG0111	[HE] COG0111 Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	[E] COG0112 Glycine/serine hydroxymethyltransferase
COG0113	[H] COG0113 Delta-aminolevulinic acid dehydratase
COG0114	[C] COG0114 Fumarase
COG0115	[EH] COG0115 Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116	[L] COG0116 Predicted N6-adenine-specific DNA methylase
COG0117	[H] COG0117 Pyrimidine deaminase
COG0118	[E] COG0118 Glutamine amidotransferase
COG0119	[E] COG0119 Isopropylmalate/homocitrate/citramalate synthases
COG0120	[G] COG0120 Ribose 5-phosphate isomerase
COG0121	[R] COG0121 Predicted glutamine amidotransferase
COG0122	[L] COG0122 3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123	[BQ] COG0123 Deacetylases, including yeast histone deacetylase and acetoin utilization protein
COG0124	[J] COG0124 Histidyl-tRNA synthetase
COG0125	[F] COG0125 Thymidylate kinase
COG0126	[G] COG0126 3-phosphoglycerate kinase
COG0127	[F] COG0127 Xanthosine triphosphate pyrophosphatase
COG0128	[E] COG0128 5-enolpyruvylshikimate-3-phosphate synthase
COG0129	[EG] COG0129 Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	[J] COG0130 Pseudouridine synthase
COG0131	[E] COG0131 Imidazoleglycerol-phosphate dehydratase
COG0132	[H] COG0132 Dethiobiotin synthetase
