COG	COG term
COG1161	[R] COG1161 Predicted GTPases
COG1162	[R] COG1162 Predicted GTPases
COG1163	[R] COG1163 Predicted GTPase
COG1164	[E] COG1164 Oligoendopeptidase F
COG1165	[H] COG1165 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
COG1166	[E] COG1166 Arginine decarboxylase (spermidine biosynthesis)
COG1167	[KE] COG1167 Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs
COG1168	[E] COG1168 Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities
COG1169	[HQ] COG1169 Isochorismate synthase
COG1171	[E] COG1171 Threonine dehydratase
COG1172	[G] COG1172 Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
COG1173	[EP] COG1173 ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
COG1174	[E] COG1174 ABC-type proline/glycine betaine transport systems, permease component
COG1175	[G] COG1175 ABC-type sugar transport systems, permease components
COG1176	[E] COG1176 ABC-type spermidine/putrescine transport system, permease component I
COG1177	[E] COG1177 ABC-type spermidine/putrescine transport system, permease component II
COG1178	[P] COG1178 ABC-type Fe3+ transport system, permease component
COG1179	[H] COG1179 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1
COG1180	[O] COG1180 Pyruvate-formate lyase-activating enzyme
COG1181	[M] COG1181 D-alanine-D-alanine ligase and related ATP-grasp enzymes
COG1182	[I] COG1182 Acyl carrier protein phosphodiesterase
COG1183	[I] COG1183 Phosphatidylserine synthase
COG1184	[J] COG1184 Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family
COG1185	[J] COG1185 Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)
COG1186	[J] COG1186 Protein chain release factor B
COG1187	[J] COG1187 16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases
COG1188	[J] COG1188 Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)
COG1189	[J] COG1189 Predicted rRNA methylase
COG1190	[J] COG1190 Lysyl-tRNA synthetase (class II)
COG1191	[K] COG1191 DNA-directed RNA polymerase specialized sigma subunit
COG1192	[D] COG1192 ATPases involved in chromosome partitioning
COG1193	[L] COG1193 Mismatch repair ATPase (MutS family)
COG1194	[L] COG1194 A/G-specific DNA glycosylase
COG1195	[L] COG1195 Recombinational DNA repair ATPase (RecF pathway)
COG1196	[D] COG1196 Chromosome segregation ATPases
COG1197	[LK] COG1197 Transcription-repair coupling factor (superfamily II helicase)
COG1198	[L] COG1198 Primosomal protein N' (replication factor Y) - superfamily II helicase
COG1199	[KL] COG1199 Rad3-related DNA helicases
COG1200	[LK] COG1200 RecG-like helicase
COG1201	[R] COG1201 Lhr-like helicases
COG1202	[R] COG1202 Superfamily II helicase, archaea-specific
COG1203	[R] COG1203 Predicted helicases
COG1204	[R] COG1204 Superfamily II helicase
COG1205	[R] COG1205 Distinct helicase family with a unique C-terminal domain including a metal-binding cysteine cluster
COG1206	[J] COG1206 NAD(FAD)-utilizing enzyme possibly involved in translation
COG1207	[M] COG1207 N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)
COG1208	[MJ] COG1208 Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)
COG1209	[M] COG1209 dTDP-glucose pyrophosphorylase
COG1210	[M] COG1210 UDP-glucose pyrophosphorylase
COG1211	[I] COG1211 4-diphosphocytidyl-2-methyl-D-erithritol synthase
COG1212	[M] COG1212 CMP-2-keto-3-deoxyoctulosonic acid synthetase
COG1213	[M] COG1213 Predicted sugar nucleotidyltransferases
COG1214	[O] COG1214 Inactive homolog of metal-dependent proteases, putative molecular chaperone
COG1215	[M] COG1215 Glycosyltransferases, probably involved in cell wall biogenesis
COG1216	[R] COG1216 Predicted glycosyltransferases
COG1217	[T] COG1217 Predicted membrane GTPase involved in stress response
COG1218	[P] COG1218 3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase
COG1219	[O] COG1219 ATP-dependent protease Clp, ATPase subunit
COG1220	[O] COG1220 ATP-dependent protease HslVU (ClpYQ), ATPase subunit
COG1221	[KT] COG1221 Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain
COG1222	[O] COG1222 ATP-dependent 26S proteasome regulatory subunit
COG1223	[R] COG1223 Predicted ATPase (AAA+ superfamily)
COG1224	[K] COG1224 DNA helicase TIP49, TBP-interacting protein
COG1225	[O] COG1225 Peroxiredoxin
COG1226	[P] COG1226 Kef-type K+ transport systems, predicted NAD-binding component
COG1227	[C] COG1227 Inorganic pyrophosphatase/exopolyphosphatase
COG1228	[Q] COG1228 Imidazolonepropionase and related amidohydrolases
COG1229	[C] COG1229 Formylmethanofuran dehydrogenase subunit A
COG1230	[P] COG1230 Co/Zn/Cd efflux system component
COG1231	[E] COG1231 Monoamine oxidase
COG1232	[H] COG1232 Protoporphyrinogen oxidase
COG1233	[Q] COG1233 Phytoene dehydrogenase and related proteins
COG1234	[R] COG1234 Metal-dependent hydrolases of the beta-lactamase superfamily III
COG1235	[R] COG1235 Metal-dependent hydrolases of the beta-lactamase superfamily I
COG1236	[J] COG1236 Predicted exonuclease of the beta-lactamase fold involved in RNA processing
COG1237	[R] COG1237 Metal-dependent hydrolases of the beta-lactamase superfamily II
COG1238	[S] COG1238 Predicted membrane protein
COG1239	[H] COG1239 Mg-chelatase subunit ChlI
COG1240	[H] COG1240 Mg-chelatase subunit ChlD
COG1241	[L] COG1241 Predicted ATPase involved in replication control, Cdc46/Mcm family
COG1242	[R] COG1242 Predicted Fe-S oxidoreductase
COG1243	[KB] COG1243 Histone acetyltransferase
COG1244	[R] COG1244 Predicted Fe-S oxidoreductase
COG1245	[R] COG1245 Predicted ATPase, RNase L inhibitor (RLI) homolog
COG1246	[E] COG1246 N-acetylglutamate synthase and related acetyltransferases
COG1247	[M] COG1247 Sortase and related acyltransferases
COG1249	[C] COG1249 Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes
COG1250	[I] COG1250 3-hydroxyacyl-CoA dehydrogenase
COG1251	[C] COG1251 NAD(P)H-nitrite reductase
COG1252	[C] COG1252 NADH dehydrogenase, FAD-containing subunit
COG1253	[R] COG1253 Hemolysins and related proteins containing CBS domains
COG1254	[C] COG1254 Acylphosphatases
COG1255	[S] COG1255 Uncharacterized protein conserved in archaea
COG1256	[N] COG1256 Flagellar hook-associated protein
COG1257	[I] COG1257 Hydroxymethylglutaryl-CoA reductase
COG1258	[J] COG1258 Predicted pseudouridylate synthase
COG1259	[S] COG1259 Uncharacterized conserved protein
COG1260	[I] COG1260 Myo-inositol-1-phosphate synthase
COG1261	[NO] COG1261 Flagellar basal body P-ring biosynthesis protein
COG1262	[S] COG1262 Uncharacterized conserved protein
COG1263	[G] COG1263 Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific
COG1264	[G] COG1264 Phosphotransferase system IIB components
COG1266	[R] COG1266 Predicted metal-dependent membrane protease
COG1267	[I] COG1267 Phosphatidylglycerophosphatase A and related proteins
COG1268	[R] COG1268 Uncharacterized conserved protein
COG1269	[C] COG1269 Archaeal/vacuolar-type H+-ATPase subunit I
COG1270	[H] COG1270 Cobalamin biosynthesis protein CobD/CbiB
COG1271	[C] COG1271 Cytochrome bd-type quinol oxidase, subunit 1
COG1272	[R] COG1272 Predicted membrane protein, hemolysin III homolog
COG1273	[S] COG1273 Uncharacterized conserved protein
COG1274	[C] COG1274 Phosphoenolpyruvate carboxykinase (GTP)
COG1275	[P] COG1275 Tellurite resistance protein and related permeases
COG1276	[P] COG1276 Putative copper export protein
COG1277	[R] COG1277 ABC-type transport system involved in multi-copper enzyme maturation, permease component
COG1278	[K] COG1278 Cold shock proteins
COG1279	[R] COG1279 Lysine efflux permease
COG1280	[E] COG1280 Putative threonine efflux protein
COG1281	[O] COG1281 Disulfide bond chaperones of the HSP33 family
COG1282	[C] COG1282 NAD/NADP transhydrogenase beta subunit
COG1283	[P] COG1283 Na+/phosphate symporter
COG1284	[S] COG1284 Uncharacterized conserved protein
COG1285	[S] COG1285 Uncharacterized membrane protein
COG1286	[R] COG1286 Uncharacterized membrane protein, required for colicin V production
COG1287	[R] COG1287 Uncharacterized membrane protein, required for N-linked glycosylation
COG1288	[S] COG1288 Predicted membrane protein
COG1289	[S] COG1289 Predicted membrane protein
COG1290	[C] COG1290 Cytochrome b subunit of the bc complex
COG1291	[N] COG1291 Flagellar motor component
COG1292	[M] COG1292 Choline-glycine betaine transporter
COG1293	[K] COG1293 Predicted RNA-binding protein homologous to eukaryotic snRNP
COG1294	[C] COG1294 Cytochrome bd-type quinol oxidase, subunit 2
COG1295	[S] COG1295 Predicted membrane protein
COG1296	[E] COG1296 Predicted branched-chain amino acid permease (azaleucine resistance)
COG1297	[S] COG1297 Predicted membrane protein
COG1298	[NU] COG1298 Flagellar biosynthesis pathway, component FlhA
COG1299	[G] COG1299 Phosphotransferase system, fructose-specific IIC component
COG1300	[S] COG1300 Uncharacterized membrane protein
COG1301	[C] COG1301 Na+/H+-dicarboxylate symporters
COG1302	[S] COG1302 Uncharacterized protein conserved in bacteria
COG1303	[S] COG1303 Uncharacterized protein conserved in archaea
COG1304	[C] COG1304 L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases
COG1305	[E] COG1305 Transglutaminase-like enzymes, putative cysteine proteases
COG1306	[S] COG1306 Uncharacterized conserved protein
COG1307	[S] COG1307 Uncharacterized protein conserved in bacteria
COG1308	[K] COG1308 Transcription factor homologous to NACalpha-BTF3
COG1309	[K] COG1309 Transcriptional regulator
COG1310	[R] COG1310 Predicted metal-dependent protease of the PAD1/JAB1 superfamily
COG1311	[L] COG1311 Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B
COG1312	[G] COG1312 D-mannonate dehydratase
COG1313	[R] COG1313 Uncharacterized Fe-S protein PflX, homolog of pyruvate formate lyase activating proteins
COG1314	[U] COG1314 Preprotein translocase subunit SecG
COG1315	[L] COG1315 Predicted polymerase, most proteins contain PALM domain, HD hydrolase domain and Zn-ribbon domain
COG1316	[K] COG1316 Transcriptional regulator
COG1317	[NU] COG1317 Flagellar biosynthesis/type III secretory pathway protein
COG1318	[K] COG1318 Predicted transcriptional regulators
COG1319	[C] COG1319 Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs
COG1320	[P] COG1320 Multisubunit Na+/H+ antiporter, MnhG subunit
COG1321	[K] COG1321 Mn-dependent transcriptional regulator
COG1322	[S] COG1322 Uncharacterized protein conserved in bacteria
COG1323	[R] COG1323 Predicted nucleotidyltransferase
COG1324	[P] COG1324 Uncharacterized protein involved in tolerance to divalent cations
COG1325	[J] COG1325 Predicted exosome subunit
COG1326	[R] COG1326 Uncharacterized archaeal Zn-finger protein
COG1327	[K] COG1327 Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains
COG1328	[F] COG1328 Oxygen-sensitive ribonucleoside-triphosphate reductase
COG1329	[K] COG1329 Transcriptional regulators, similar to M. xanthus CarD
COG1330	[L] COG1330 Exonuclease V gamma subunit
COG1331	[O] COG1331 Highly conserved protein containing a thioredoxin domain
COG1332	[L] COG1332 Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)
COG1333	[O] COG1333 ResB protein required for cytochrome c biosynthesis
COG1334	[N] COG1334 Uncharacterized flagellar protein FlaG
COG1335	[Q] COG1335 Amidases related to nicotinamidase
COG1336	[L] COG1336 Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)
COG1337	[L] COG1337 Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)
COG1338	[NU] COG1338 Flagellar biosynthesis pathway, component FliP
COG1339	[KH] COG1339 Transcriptional regulator of a riboflavin/FAD biosynthetic operon
COG1340	[S] COG1340 Uncharacterized archaeal coiled-coil protein
COG1341	[R] COG1341 Predicted GTPase or GTP-binding protein
COG1342	[R] COG1342 Predicted DNA-binding proteins
COG1343	[L] COG1343 Uncharacterized protein predicted to be involved in DNA repair
COG1344	[N] COG1344 Flagellin and related hook-associated proteins
COG1345	[N] COG1345 Flagellar capping protein
COG1346	[M] COG1346 Putative effector of murein hydrolase
COG1347	[C] COG1347 Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD
COG1348	[P] COG1348 Nitrogenase subunit NifH (ATPase)
COG1349	[KG] COG1349 Transcriptional regulators of sugar metabolism
COG1350	[R] COG1350 Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)
COG1351	[F] COG1351 Predicted alternative thymidylate synthase
COG1352	[NT] COG1352 Methylase of chemotaxis methyl-accepting proteins
COG1353	[R] COG1353 Predicted hydrolase of the HD superfamily (permuted catalytic motifs)
COG1354	[S] COG1354 Uncharacterized conserved protein
COG1355	[R] COG1355 Predicted dioxygenase
COG1356	[S] COG1356 Uncharacterized protein conserved in archaea
COG1357	[S] COG1357 Uncharacterized low-complexity proteins
COG1358	[J] COG1358 Ribosomal protein HS6-type (S12/L30/L7a)
COG1359	[S] COG1359 Uncharacterized conserved protein
COG1360	[N] COG1360 Flagellar motor protein
COG1361	[M] COG1361 S-layer domain
COG1362	[E] COG1362 Aspartyl aminopeptidase
COG1363	[G] COG1363 Cellulase M and related proteins
COG1364	[E] COG1364 N-acetylglutamate synthase (N-acetylornithine aminotransferase)
COG1365	[R] COG1365 Predicted ATPase (PP-loop superfamily)
COG1366	[T] COG1366 Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
COG1367	[L] COG1367 Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)
COG1368	[M] COG1368 Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily
COG1369	[J] COG1369 RNase P/RNase MRP subunit POP5
COG1370	[O] COG1370 Prefoldin, molecular chaperone implicated in de novo protein folding, alpha subunit
COG1371	[S] COG1371 Uncharacterized conserved protein
COG1372	[L] COG1372 Intein/homing endonuclease
COG1373	[R] COG1373 Predicted ATPase (AAA+ superfamily)
COG1374	[J] COG1374 Protein involved in ribosomal biogenesis, contains PUA domain
COG1376	[S] COG1376 Uncharacterized protein conserved in bacteria
COG1377	[NU] COG1377 Flagellar biosynthesis pathway, component FlhB
COG1378	[K] COG1378 Predicted transcriptional regulators
COG1379	[S] COG1379 Uncharacterized conserved protein
COG1380	[R] COG1380 Putative effector of murein hydrolase LrgA
COG1381	[L] COG1381 Recombinational DNA repair protein (RecF pathway)
COG1382	[O] COG1382 Prefoldin, chaperonin cofactor
COG1383	[J] COG1383 Ribosomal protein S17E
COG1384	[J] COG1384 Lysyl-tRNA synthetase (class I)
COG1385	[S] COG1385 Uncharacterized protein conserved in bacteria
COG1386	[K] COG1386 Predicted transcriptional regulator containing the HTH domain
COG1387	[ER] COG1387 Histidinol phosphatase and related hydrolases of the PHP family
COG1388	[M] COG1388 FOG: LysM repeat
COG1389	[L] COG1389 DNA topoisomerase VI, subunit B
COG1390	[C] COG1390 Archaeal/vacuolar-type H+-ATPase subunit E
COG1391	[OT] COG1391 Glutamine synthetase adenylyltransferase
COG1392	[P] COG1392 Phosphate transport regulator (distant homolog of PhoU)
COG1393	[P] COG1393 Arsenate reductase and related proteins, glutaredoxin family
COG1394	[C] COG1394 Archaeal/vacuolar-type H+-ATPase subunit D
COG1395	[K] COG1395 Predicted transcriptional regulator
COG1396	[K] COG1396 Predicted transcriptional regulators
COG1397	[O] COG1397 ADP-ribosylglycohydrolase
COG1398	[I] COG1398 Fatty-acid desaturase
COG1399	[R] COG1399 Predicted metal-binding, possibly nucleic acid-binding protein
COG1400	[U] COG1400 Signal recognition particle 19 kDa protein
COG1401	[V] COG1401 GTPase subunit of restriction endonuclease
COG1402	[R] COG1402 Uncharacterized protein, putative amidase
COG1403	[V] COG1403 Restriction endonuclease
COG1404	[O] COG1404 Subtilisin-like serine proteases
COG1405	[K] COG1405 Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB
COG1406	[N] COG1406 Predicted inhibitor of MCP methylation, homolog of CheC
COG1407	[R] COG1407 Predicted ICC-like phosphoesterases
COG1408	[R] COG1408 Predicted phosphohydrolases
COG1409	[R] COG1409 Predicted phosphohydrolases
COG1410	[E] COG1410 Methionine synthase I, cobalamin-binding domain
COG1411	[R] COG1411 Uncharacterized protein related to proFAR isomerase (HisA)
COG1412	[R] COG1412 Uncharacterized proteins of PilT N-term./Vapc superfamily
COG1413	[C] COG1413 FOG: HEAT repeat
COG1414	[K] COG1414 Transcriptional regulator
COG1415	[S] COG1415 Uncharacterized conserved protein
COG1416	[S] COG1416 Uncharacterized conserved protein
COG1417	[S] COG1417 Uncharacterized conserved protein
COG1418	[R] COG1418 Predicted HD superfamily hydrolase
COG1419	[N] COG1419 Flagellar GTP-binding protein
COG1420	[K] COG1420 Transcriptional regulator of heat shock gene
COG1421	[L] COG1421 Uncharacterized protein predicted to be involved in DNA repair
COG1422	[S] COG1422 Predicted membrane protein
COG1423	[L] COG1423 ATP-dependent DNA ligase, homolog of eukaryotic ligase III
COG1424	[H] COG1424 Pimeloyl-CoA synthetase
COG1426	[S] COG1426 Uncharacterized protein conserved in bacteria
COG1427	[R] COG1427 Predicted periplasmic solute-binding protein
COG1428	[F] COG1428 Deoxynucleoside kinases
COG1429	[H] COG1429 Cobalamin biosynthesis protein CobN and related Mg-chelatases
COG1430	[S] COG1430 Uncharacterized conserved protein
COG1431	[J] COG1431 Uncharacterized protein containing piwi/argonaute domain
COG1432	[S] COG1432 Uncharacterized conserved protein
COG1433	[S] COG1433 Uncharacterized conserved protein
COG1434	[S] COG1434 Uncharacterized conserved protein
COG1435	[F] COG1435 Thymidine kinase
COG1436	[C] COG1436 Archaeal/vacuolar-type H+-ATPase subunit F
COG1437	[F] COG1437 Adenylate cyclase, class 2 (thermophilic)
COG1438	[K] COG1438 Arginine repressor
COG1439	[R] COG1439 Predicted nucleic acid-binding protein, consists of a PIN domain and a Zn-ribbon module
COG1440	[G] COG1440 Phosphotransferase system cellobiose-specific component IIB
COG1441	[H] COG1441 O-succinylbenzoate synthase
COG1442	[M] COG1442 Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases
COG1443	[I] COG1443 Isopentenyldiphosphate isomerase
COG1444	[R] COG1444 Predicted P-loop ATPase fused to an acetyltransferase
COG1445	[G] COG1445 Phosphotransferase system fructose-specific component IIB
COG1446	[E] COG1446 Asparaginase
COG1447	[G] COG1447 Phosphotransferase system cellobiose-specific component IIA
COG1448	[E] COG1448 Aspartate/tyrosine/aromatic aminotransferase
COG1449	[G] COG1449 Alpha-amylase/alpha-mannosidase
COG1450	[NU] COG1450 Type II secretory pathway, component PulD
COG1451	[R] COG1451 Predicted metal-dependent hydrolase
COG1452	[M] COG1452 Organic solvent tolerance protein OstA
COG1453	[R] COG1453 Predicted oxidoreductases of the aldo/keto reductase family
COG1454	[C] COG1454 Alcohol dehydrogenase, class IV
COG1455	[G] COG1455 Phosphotransferase system cellobiose-specific component IIC
COG1456	[C] COG1456 CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)
COG1457	[F] COG1457 Purine-cytosine permease and related proteins
COG1458	[R] COG1458 Predicted DNA-binding protein containing PIN domain
COG1459	[NU] COG1459 Type II secretory pathway, component PulF
COG1460	[S] COG1460 Uncharacterized protein conserved in archaea
COG1461	[R] COG1461 Predicted kinase related to dihydroxyacetone kinase
COG1462	[M] COG1462 Uncharacterized protein involved in formation of curli polymers
COG1463	[Q] COG1463 ABC-type transport system involved in resistance to organic solvents, periplasmic component
COG1464	[P] COG1464 ABC-type metal ion transport system, periplasmic component/surface antigen
COG1465	[E] COG1465 Predicted alternative 3-dehydroquinate synthase
COG1466	[L] COG1466 DNA polymerase III, delta subunit
COG1467	[L] COG1467 Eukaryotic-type DNA primase, catalytic (small) subunit
COG1468	[L] COG1468 RecB family exonuclease
COG1469	[S] COG1469 Uncharacterized conserved protein
COG1470	[S] COG1470 Predicted membrane protein
COG1471	[J] COG1471 Ribosomal protein S4E
COG1472	[G] COG1472 Beta-glucosidase-related glycosidases
COG1473	[R] COG1473 Metal-dependent amidase/aminoacylase/carboxypeptidase
COG1474	[LO] COG1474 Cdc6-related protein, AAA superfamily ATPase
COG1475	[K] COG1475 Predicted transcriptional regulators
COG1476	[K] COG1476 Predicted transcriptional regulators
COG1477	[H] COG1477 Membrane-associated lipoprotein involved in thiamine biosynthesis
COG1478	[S] COG1478 Uncharacterized conserved protein
COG1479	[S] COG1479 Uncharacterized conserved protein
COG1480	[R] COG1480 Predicted membrane-associated HD superfamily hydrolase
COG1481	[S] COG1481 Uncharacterized protein conserved in bacteria
COG1482	[G] COG1482 Phosphomannose isomerase
COG1483	[R] COG1483 Predicted ATPase (AAA+ superfamily)
COG1484	[L] COG1484 DNA replication protein
COG1485	[R] COG1485 Predicted ATPase
COG1486	[G] COG1486 Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases
COG1487	[R] COG1487 Predicted nucleic acid-binding protein, contains PIN domain
COG1488	[H] COG1488 Nicotinic acid phosphoribosyltransferase
COG1489	[R] COG1489 DNA-binding protein, stimulates sugar fermentation
COG1490	[J] COG1490 D-Tyr-tRNAtyr deacylase
COG1491	[J] COG1491 Predicted RNA-binding protein
COG1492	[H] COG1492 Cobyric acid synthase
COG1493	[T] COG1493 Serine kinase of the HPr protein, regulates carbohydrate metabolism
COG1494	[G] COG1494 Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase and related proteins
COG1495	[O] COG1495 Disulfide bond formation protein DsbB
COG1496	[S] COG1496 Uncharacterized conserved protein
COG1497	[K] COG1497 Predicted transcriptional regulator
COG1498	[J] COG1498 Protein implicated in ribosomal biogenesis, Nop56p homolog
COG1499	[J] COG1499 NMD protein affecting ribosome stability and mRNA decay
COG1500	[J] COG1500 Predicted exosome subunit
COG1501	[G] COG1501 Alpha-glucosidases, family 31 of glycosyl hydrolases
COG1502	[I] COG1502 Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes
COG1503	[J] COG1503 Peptide chain release factor 1 (eRF1)
COG1504	[S] COG1504 Uncharacterized conserved protein
COG1505	[E] COG1505 Serine proteases of the peptidase family S9A
COG1506	[E] COG1506 Dipeptidyl aminopeptidases/acylaminoacyl-peptidases
COG1507	[S] COG1507 Uncharacterized conserved protein
COG1508	[K] COG1508 DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog
COG1509	[E] COG1509 Lysine 2,3-aminomutase
COG1510	[K] COG1510 Predicted transcriptional regulators
COG1511	[S] COG1511 Predicted membrane protein
COG1512	[R] COG1512 Beta-propeller domains of methanol dehydrogenase type
COG1513	[P] COG1513 Cyanate lyase
COG1514	[J] COG1514 2'-5' RNA ligase
COG1515	[L] COG1515 Deoxyinosine 3'endonuclease (endonuclease V)
COG1516	[NUO] COG1516 Flagellin-specific chaperone FliS
COG1517	[L] COG1517 Uncharacterized protein predicted to be involved in DNA repair
COG1518	[L] COG1518 Uncharacterized protein predicted to be involved in DNA repair
COG1519	[M] COG1519 3-deoxy-D-manno-octulosonic-acid transferase
COG1520	[S] COG1520 FOG: WD40-like repeat
COG1521	[K] COG1521 Putative transcriptional regulator, homolog of Bvg accessory factor
COG1522	[K] COG1522 Transcriptional regulators
COG1523	[G] COG1523 Type II secretory pathway, pullulanase PulA and related glycosidases
COG1524	[R] COG1524 Uncharacterized proteins of the AP superfamily
COG1525	[L] COG1525 Micrococcal nuclease (thermonuclease) homologs
COG1526	[C] COG1526 Uncharacterized protein required for formate dehydrogenase activity
COG1527	[C] COG1527 Archaeal/vacuolar-type H+-ATPase subunit C
COG1528	[P] COG1528 Ferritin-like protein
COG1529	[C] COG1529 Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs
COG1530	[J] COG1530 Ribonucleases G and E
COG1531	[S] COG1531 Uncharacterized protein conserved in archaea
COG1532	[R] COG1532 Predicted RNA-binding protein
COG1533	[L] COG1533 DNA repair photolyase
COG1534	[J] COG1534 Predicted RNA-binding protein containing KH domain, possibly ribosomal protein
COG1535	[Q] COG1535 Isochorismate hydrolase
COG1536	[N] COG1536 Flagellar motor switch protein
COG1537	[R] COG1537 Predicted RNA-binding proteins
COG1538	[MU] COG1538 Outer membrane protein
COG1539	[H] COG1539 Dihydroneopterin aldolase
COG1540	[R] COG1540 Uncharacterized proteins, homologs of lactam utilization protein B
COG1541	[H] COG1541 Coenzyme F390 synthetase
COG1542	[S] COG1542 Uncharacterized conserved protein
COG1543	[S] COG1543 Uncharacterized conserved protein
COG1544	[J] COG1544 Ribosome-associated protein Y (PSrp-1)
COG1545	[R] COG1545 Predicted nucleic-acid-binding protein containing a Zn-ribbon
COG1546	[R] COG1546 Uncharacterized protein (competence- and mitomycin-induced)
COG1547	[S] COG1547 Uncharacterized conserved protein
COG1548	[KG] COG1548 Predicted transcriptional regulator/sugar kinase
COG1549	[J] COG1549 Queuine tRNA-ribosyltransferases, contain PUA domain
COG1550	[S] COG1550 Uncharacterized protein conserved in bacteria
COG1551	[T] COG1551 Carbon storage regulator (could also regulate swarming and quorum sensing)
COG1552	[J] COG1552 Ribosomal protein L40E
COG1553	[P] COG1553 Uncharacterized conserved protein involved in intracellular sulfur reduction
COG1554	[G] COG1554 Trehalose and maltose hydrolases (possible phosphorylases)
COG1555	[L] COG1555 DNA uptake protein and related DNA-binding proteins
COG1556	[S] COG1556 Uncharacterized conserved protein
COG1558	[N] COG1558 Flagellar basal body rod protein
COG1559	[R] COG1559 Predicted periplasmic solute-binding protein
COG1560	[M] COG1560 Lauroyl/myristoyl acyltransferase
COG1561	[S] COG1561 Uncharacterized stress-induced protein
COG1562	[I] COG1562 Phytoene/squalene synthetase
COG1563	[P] COG1563 Predicted subunit of the Multisubunit Na+/H+ antiporter
COG1564	[H] COG1564 Thiamine pyrophosphokinase
COG1565	[S] COG1565 Uncharacterized conserved protein
COG1566	[V] COG1566 Multidrug resistance efflux pump
COG1567	[L] COG1567 Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)
COG1568	[R] COG1568 Predicted methyltransferases
COG1569	[R] COG1569 Predicted nucleic acid-binding protein, contains PIN domain
COG1570	[L] COG1570 Exonuclease VII, large subunit
COG1571	[R] COG1571 Predicted DNA-binding protein containing a Zn-ribbon domain
COG1572	[S] COG1572 Uncharacterized conserved protein
COG1573	[L] COG1573 Uracil-DNA glycosylase
COG1574	[R] COG1574 Predicted metal-dependent hydrolase with the TIM-barrel fold
COG1575	[H] COG1575 1,4-dihydroxy-2-naphthoate octaprenyltransferase
COG1576	[S] COG1576 Uncharacterized conserved protein
COG1577	[I] COG1577 Mevalonate kinase
COG1578	[S] COG1578 Uncharacterized conserved protein
COG1579	[R] COG1579 Zn-ribbon protein, possibly nucleic acid-binding
COG1580	[N] COG1580 Flagellar basal body-associated protein
COG1581	[K] COG1581 Archaeal DNA-binding protein
COG1582	[N] COG1582 Uncharacterized protein, possibly involved in motility
COG1583	[L] COG1583 Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)
COG1584	[S] COG1584 Predicted membrane protein
COG1585	[OU] COG1585 Membrane protein implicated in regulation of membrane protease activity
COG1586	[E] COG1586 S-adenosylmethionine decarboxylase
COG1587	[H] COG1587 Uroporphyrinogen-III synthase
COG1588	[J] COG1588 RNase P/RNase MRP subunit p29
COG1589	[M] COG1589 Cell division septal protein
COG1590	[S] COG1590 Uncharacterized conserved protein
COG1591	[L] COG1591 Holliday junction resolvase - archaeal type
COG1592	[C] COG1592 Rubrerythrin
